Date,Product Name,Region,State,Quantity Sold (Units),Price (INR),Temperature (øC),Festival Indicator,Festival Name,Holiday Indicator,Day of Week,Month,Year
2021-01-02,Ice Cream (500ml),Central,Madhya Pradesh,318,178.02,16.6,No,,No,Saturday,January,2021
2021-01-02,Ghee (1L),Central,Madhya Pradesh,138,533.36,16.6,No,,No,Saturday,January,2021
2021-01-02,Full Cream Milk (1L),East,Odisha,2165,61.36,19.5,No,,No,Saturday,January,2021
2021-01-02,Butter (500g),West,Maharashtra,272,255.24,22.6,No,,No,Saturday,January,2021
2021-01-02,Paneer (200g),Central,Madhya Pradesh,607,88.26,16.6,No,,No,Saturday,January,2021
2021-01-02,Skimmed Milk (1L),Central,Madhya Pradesh,772,53.43,16.6,No,,No,Saturday,January,2021
2021-01-02,Butter (500g),North,Haryana,303,246.28,14.7,No,,No,Saturday,January,2021
2021-01-02,Toned Milk (500ml),North,Haryana,1437,26.74,14.7,No,,No,Saturday,January,2021
2021-01-02,Lassi (200ml),West,Maharashtra,178,24.8,22.6,No,,No,Saturday,January,2021
2021-01-02,Cheese Slices (200g),South,Karnataka,274,109.25,28.3,No,,No,Saturday,January,2021
2021-01-02,Full Cream Milk (1L),Central,Madhya Pradesh,2050,59.97,16.6,No,,No,Saturday,January,2021
2021-01-02,Dahi / Curd (500g),South,Karnataka,1106,44.15,28.3,No,,No,Saturday,January,2021
2021-01-02,Buttermilk (1L),North,Haryana,224,34.98,14.7,No,,No,Saturday,January,2021
2021-01-02,Paneer (200g),North,Haryana,277,91.1,14.7,No,,No,Saturday,January,2021
2021-01-02,Lassi (200ml),South,Karnataka,347,24.59,28.3,No,,No,Saturday,January,2021
2021-01-02,Full Cream Milk (1L),South,Karnataka,1364,60.82,28.3,No,,No,Saturday,January,2021
2021-01-02,Skimmed Milk (1L),East,Odisha,527,55.18,19.5,No,,No,Saturday,January,2021
2021-01-02,Buttermilk (1L),Central,Madhya Pradesh,282,35.12,16.6,No,,No,Saturday,January,2021
2021-01-02,Skimmed Milk (1L),North,Haryana,522,54.42,14.7,No,,No,Saturday,January,2021
2021-01-02,Butter (500g),East,Odisha,474,252,19.5,No,,No,Saturday,January,2021
2021-01-02,Toned Milk (500ml),Central,Madhya Pradesh,1004,27.36,16.6,No,,No,Saturday,January,2021
2021-01-02,Butter (500g),Central,Madhya Pradesh,213,248.05,16.6,No,,No,Saturday,January,2021
2021-01-02,Paneer (200g),South,Karnataka,529,91.81,28.3,No,,No,Saturday,January,2021
2021-01-02,Flavoured Milk (200ml),Central,Madhya Pradesh,691,30.64,16.6,No,,No,Saturday,January,2021
2021-01-02,Paneer (200g),East,Odisha,584,88.61,19.5,No,,No,Saturday,January,2021
2021-01-02,Lassi (200ml),Central,Madhya Pradesh,175,25.7,16.6,No,,No,Saturday,January,2021
2021-01-02,Flavoured Milk (200ml),East,Odisha,775,30.5,19.5,No,,No,Saturday,January,2021
2021-01-02,Flavoured Milk (200ml),West,Maharashtra,899,29.54,22.6,No,,No,Saturday,January,2021
2021-01-02,Buttermilk (1L),West,Maharashtra,259,35.01,22.6,No,,No,Saturday,January,2021
2021-01-02,Cheese Slices (200g),North,Haryana,134,108.54,14.7,No,,No,Saturday,January,2021
2021-01-02,Buttermilk (1L),South,Karnataka,204,34.19,28.3,No,,No,Saturday,January,2021
2021-01-02,Dahi / Curd (500g),East,Odisha,1066,46.07,19.5,No,,No,Saturday,January,2021
2021-01-02,Lassi (200ml),East,Odisha,387,25.6,19.5,No,,No,Saturday,January,2021
2021-01-02,Ghee (1L),West,Maharashtra,110,522.13,22.6,No,,No,Saturday,January,2021
2021-01-02,Dahi / Curd (500g),West,Maharashtra,844,45.67,22.6,No,,No,Saturday,January,2021
2021-01-02,Flavoured Milk (200ml),North,Haryana,764,30,14.7,No,,No,Saturday,January,2021
2021-01-02,Flavoured Milk (200ml),South,Karnataka,545,29.41,28.3,No,,No,Saturday,January,2021
2021-01-02,Toned Milk (500ml),East,Odisha,1007,27.26,19.5,No,,No,Saturday,January,2021
2021-01-02,Skimmed Milk (1L),West,Maharashtra,363,54.09,22.6,No,,No,Saturday,January,2021
2021-01-02,Ice Cream (500ml),East,Odisha,322,184.3,19.5,No,,No,Saturday,January,2021
2021-01-03,Skimmed Milk (1L),Central,Madhya Pradesh,809,55.15,18.1,No,,No,Sunday,January,2021
2021-01-03,Ice Cream (500ml),West,Goa,280,176.36,22.4,No,,No,Sunday,January,2021
2021-01-03,Dahi / Curd (500g),North,Haryana,941,45.55,14.3,No,,No,Sunday,January,2021
2021-01-03,Skimmed Milk (1L),North,Haryana,744,55.06,14.3,No,,No,Sunday,January,2021
2021-01-03,Dahi / Curd (500g),West,Goa,615,44.93,22.4,No,,No,Sunday,January,2021
2021-01-03,Buttermilk (1L),West,Goa,339,35.3,22.4,No,,No,Sunday,January,2021
2021-01-03,Lassi (200ml),East,Bihar,451,24.67,13.9,No,,No,Sunday,January,2021
2021-01-03,Cheese Slices (200g),North,Haryana,270,110.99,14.3,No,,No,Sunday,January,2021
2021-01-03,Full Cream Milk (1L),West,Goa,1405,58.62,22.4,No,,No,Sunday,January,2021
2021-01-03,Lassi (200ml),North,Haryana,197,25.62,14.3,No,,No,Sunday,January,2021
2021-01-03,Ice Cream (500ml),East,Bihar,184,177.28,13.9,No,,No,Sunday,January,2021
2021-01-03,Butter (500g),Central,Madhya Pradesh,358,243.54,18.1,No,,No,Sunday,January,2021
2021-01-03,Full Cream Milk (1L),Central,Madhya Pradesh,2290,60.27,18.1,No,,No,Sunday,January,2021
2021-01-03,Flavoured Milk (200ml),Central,Madhya Pradesh,437,29.67,18.1,No,,No,Sunday,January,2021
2021-01-03,Ice Cream (500ml),South,Tamil Nadu,303,181.48,26.8,No,,No,Sunday,January,2021
2021-01-03,Lassi (200ml),Central,Madhya Pradesh,174,25.27,18.1,No,,No,Sunday,January,2021
2021-01-03,Flavoured Milk (200ml),North,Haryana,906,30,14.3,No,,No,Sunday,January,2021
2021-01-03,Flavoured Milk (200ml),West,Goa,602,30.23,22.4,No,,No,Sunday,January,2021
2021-01-03,Dahi / Curd (500g),Central,Madhya Pradesh,882,46.09,18.1,No,,No,Sunday,January,2021
2021-01-03,Toned Milk (500ml),Central,Madhya Pradesh,752,27.23,18.1,No,,No,Sunday,January,2021
2021-01-03,Toned Milk (500ml),North,Haryana,1181,27.79,14.3,No,,No,Sunday,January,2021
2021-01-03,Butter (500g),South,Tamil Nadu,381,247.9,26.8,No,,No,Sunday,January,2021
2021-01-03,Ghee (1L),East,Bihar,283,526.7,13.9,No,,No,Sunday,January,2021
2021-01-03,Paneer (200g),East,Bihar,248,91.06,13.9,No,,No,Sunday,January,2021
2021-01-03,Cheese Slices (200g),West,Goa,383,112.35,22.4,No,,No,Sunday,January,2021
2021-01-03,Flavoured Milk (200ml),East,Bihar,1061,30.43,13.9,No,,No,Sunday,January,2021
2021-01-03,Skimmed Milk (1L),West,Goa,547,55.67,22.4,No,,No,Sunday,January,2021
2021-01-03,Toned Milk (500ml),West,Goa,678,26.26,22.4,No,,No,Sunday,January,2021
2021-01-03,Skimmed Milk (1L),East,Bihar,737,56.53,13.9,No,,No,Sunday,January,2021
2021-01-03,Full Cream Milk (1L),North,Haryana,2242,58.55,14.3,No,,No,Sunday,January,2021
2021-01-03,Paneer (200g),North,Haryana,609,91.3,14.3,No,,No,Sunday,January,2021
2021-01-03,Ice Cream (500ml),North,Haryana,137,183.19,14.3,No,,No,Sunday,January,2021
2021-01-03,Butter (500g),East,Bihar,155,246.25,13.9,No,,No,Sunday,January,2021
2021-01-03,Paneer (200g),South,Tamil Nadu,289,90.49,26.8,No,,No,Sunday,January,2021
2021-01-03,Lassi (200ml),South,Tamil Nadu,165,24.57,26.8,No,,No,Sunday,January,2021
2021-01-03,Skimmed Milk (1L),South,Tamil Nadu,676,55.14,26.8,No,,No,Sunday,January,2021
2021-01-03,Buttermilk (1L),North,Haryana,432,34.66,14.3,No,,No,Sunday,January,2021
2021-01-03,Full Cream Milk (1L),East,Bihar,2314,59.17,13.9,No,,No,Sunday,January,2021
2021-01-03,Cheese Slices (200g),Central,Madhya Pradesh,236,106.85,18.1,No,,No,Sunday,January,2021
2021-01-03,Flavoured Milk (200ml),South,Tamil Nadu,791,29.25,26.8,No,,No,Sunday,January,2021
2021-01-03,Paneer (200g),Central,Madhya Pradesh,647,89.38,18.1,No,,No,Sunday,January,2021
2021-01-03,Toned Milk (500ml),South,Tamil Nadu,851,26.25,26.8,No,,No,Sunday,January,2021
2021-01-04,Flavoured Milk (200ml),West,Goa,945,30.04,22.6,No,,No,Monday,January,2021
2021-01-04,Skimmed Milk (1L),Central,Madhya Pradesh,305,55.4,16.3,No,,No,Monday,January,2021
2021-01-04,Paneer (200g),South,Karnataka,515,91.36,26.6,No,,No,Monday,January,2021
2021-01-04,Lassi (200ml),North,Rajasthan,448,24.89,13.2,No,,No,Monday,January,2021
2021-01-04,Cheese Slices (200g),North,Rajasthan,285,112.66,13.2,No,,No,Monday,January,2021
2021-01-04,Butter (500g),South,Karnataka,125,249.92,26.6,No,,No,Monday,January,2021
2021-01-04,Paneer (200g),West,Goa,370,92.5,22.6,No,,No,Monday,January,2021
2021-01-04,Cheese Slices (200g),Central,Madhya Pradesh,124,107.77,16.3,No,,No,Monday,January,2021
2021-01-04,Butter (500g),Central,Madhya Pradesh,222,243.67,16.3,No,,No,Monday,January,2021
2021-01-04,Toned Milk (500ml),West,Goa,1514,26.8,22.6,No,,No,Monday,January,2021
2021-01-04,Ghee (1L),West,Goa,193,535.38,22.6,No,,No,Monday,January,2021
2021-01-04,Toned Milk (500ml),North,Rajasthan,642,27.49,13.2,No,,No,Monday,January,2021
2021-01-04,Butter (500g),North,Rajasthan,104,254.15,13.2,No,,No,Monday,January,2021
2021-01-04,Ghee (1L),Central,Madhya Pradesh,262,535.17,16.3,No,,No,Monday,January,2021
2021-01-04,Buttermilk (1L),West,Goa,200,35.84,22.6,No,,No,Monday,January,2021
2021-01-04,Skimmed Milk (1L),North,Rajasthan,566,53.94,13.2,No,,No,Monday,January,2021
2021-01-04,Ice Cream (500ml),West,Goa,124,181.38,22.6,No,,No,Monday,January,2021
2021-01-04,Full Cream Milk (1L),West,Goa,1300,60.3,22.6,No,,No,Monday,January,2021
2021-01-04,Ghee (1L),South,Karnataka,231,521.55,26.6,No,,No,Monday,January,2021
2021-01-04,Paneer (200g),North,Rajasthan,392,91.66,13.2,No,,No,Monday,January,2021
2021-01-04,Dahi / Curd (500g),Central,Madhya Pradesh,956,44.6,16.3,No,,No,Monday,January,2021
2021-01-04,Flavoured Milk (200ml),North,Rajasthan,721,30.46,13.2,No,,No,Monday,January,2021
2021-01-04,Skimmed Milk (1L),South,Karnataka,702,54.43,26.6,No,,No,Monday,January,2021
2021-01-04,Ice Cream (500ml),South,Karnataka,334,175.69,26.6,No,,No,Monday,January,2021
2021-01-04,Buttermilk (1L),Central,Madhya Pradesh,356,35.47,16.3,No,,No,Monday,January,2021
2021-01-04,Skimmed Milk (1L),West,Goa,429,56.22,22.6,No,,No,Monday,January,2021
2021-01-04,Ghee (1L),East,Odisha,207,507.01,17.7,No,,No,Monday,January,2021
2021-01-04,Dahi / Curd (500g),North,Rajasthan,1032,44.76,13.2,No,,No,Monday,January,2021
2021-01-04,Butter (500g),West,Goa,251,255.87,22.6,No,,No,Monday,January,2021
2021-01-04,Cheese Slices (200g),East,Odisha,305,109.95,17.7,No,,No,Monday,January,2021
2021-01-04,Cheese Slices (200g),South,Karnataka,312,111.73,26.6,No,,No,Monday,January,2021
2021-01-04,Ice Cream (500ml),East,Odisha,132,179.66,17.7,No,,No,Monday,January,2021
2021-01-04,Flavoured Milk (200ml),East,Odisha,716,30.73,17.7,No,,No,Monday,January,2021
2021-01-04,Toned Milk (500ml),East,Odisha,1353,26.32,17.7,No,,No,Monday,January,2021
2021-01-04,Full Cream Milk (1L),East,Odisha,925,61.16,17.7,No,,No,Monday,January,2021
2021-01-04,Flavoured Milk (200ml),South,Karnataka,353,29.31,26.6,No,,No,Monday,January,2021
2021-01-04,Dahi / Curd (500g),East,Odisha,622,46.21,17.7,No,,No,Monday,January,2021
2021-01-04,Paneer (200g),Central,Madhya Pradesh,467,88.32,16.3,No,,No,Monday,January,2021
2021-01-04,Lassi (200ml),West,Goa,345,25.08,22.6,No,,No,Monday,January,2021
2021-01-04,Dahi / Curd (500g),South,Karnataka,521,45.78,26.6,No,,No,Monday,January,2021
2021-01-04,Full Cream Milk (1L),North,Rajasthan,1958,61.36,13.2,No,,No,Monday,January,2021
2021-01-04,Ghee (1L),North,Rajasthan,102,533.44,13.2,No,,No,Monday,January,2021
2021-01-04,Cheese Slices (200g),West,Goa,223,111.29,22.6,No,,No,Monday,January,2021
2021-01-04,Flavoured Milk (200ml),Central,Madhya Pradesh,289,30.56,16.3,No,,No,Monday,January,2021
2021-01-04,Lassi (200ml),South,Karnataka,264,25.58,26.6,No,,No,Monday,January,2021
2021-01-05,Butter (500g),North,Delhi,155,255.13,11.4,No,,No,Tuesday,January,2021
2021-01-05,Paneer (200g),East,West Bengal,427,89.18,16.1,No,,No,Tuesday,January,2021
2021-01-05,Ghee (1L),East,West Bengal,220,534.03,16.1,No,,No,Tuesday,January,2021
2021-01-05,Toned Milk (500ml),South,Telangana,1320,26.4,29.7,No,,No,Tuesday,January,2021
2021-01-05,Toned Milk (500ml),Central,Madhya Pradesh,931,26.64,16.6,No,,No,Tuesday,January,2021
2021-01-05,Skimmed Milk (1L),West,Maharashtra,599,55.46,23.4,No,,No,Tuesday,January,2021
2021-01-05,Cheese Slices (200g),West,Maharashtra,189,109.74,23.4,No,,No,Tuesday,January,2021
2021-01-05,Cheese Slices (200g),Central,Madhya Pradesh,315,110.21,16.6,No,,No,Tuesday,January,2021
2021-01-05,Skimmed Milk (1L),Central,Madhya Pradesh,466,55.82,16.6,No,,No,Tuesday,January,2021
2021-01-05,Dahi / Curd (500g),East,West Bengal,836,45.77,16.1,No,,No,Tuesday,January,2021
2021-01-05,Flavoured Milk (200ml),North,Delhi,507,30.66,11.4,No,,No,Tuesday,January,2021
2021-01-05,Lassi (200ml),Central,Madhya Pradesh,116,24.63,16.6,No,,No,Tuesday,January,2021
2021-01-05,Paneer (200g),North,Delhi,247,88.11,11.4,No,,No,Tuesday,January,2021
2021-01-05,Buttermilk (1L),South,Telangana,191,35.25,29.7,No,,No,Tuesday,January,2021
2021-01-05,Lassi (200ml),South,Telangana,362,25.53,29.7,No,,No,Tuesday,January,2021
2021-01-05,Lassi (200ml),East,West Bengal,344,25.64,16.1,No,,No,Tuesday,January,2021
2021-01-05,Toned Milk (500ml),West,Maharashtra,899,26.44,23.4,No,,No,Tuesday,January,2021
2021-01-05,Butter (500g),Central,Madhya Pradesh,394,248.03,16.6,No,,No,Tuesday,January,2021
2021-01-05,Flavoured Milk (200ml),West,Maharashtra,766,29.26,23.4,No,,No,Tuesday,January,2021
2021-01-05,Toned Milk (500ml),East,West Bengal,1216,27.15,16.1,No,,No,Tuesday,January,2021
2021-01-05,Paneer (200g),West,Maharashtra,337,89.17,23.4,No,,No,Tuesday,January,2021
2021-01-05,Buttermilk (1L),East,West Bengal,330,34.45,16.1,No,,No,Tuesday,January,2021
2021-01-05,Butter (500g),East,West Bengal,300,251.83,16.1,No,,No,Tuesday,January,2021
2021-01-05,Paneer (200g),Central,Madhya Pradesh,215,88.43,16.6,No,,No,Tuesday,January,2021
2021-01-05,Skimmed Milk (1L),North,Delhi,734,56.02,11.4,No,,No,Tuesday,January,2021
2021-01-05,Full Cream Milk (1L),South,Telangana,1182,59.09,29.7,No,,No,Tuesday,January,2021
2021-01-05,Cheese Slices (200g),East,West Bengal,268,113.17,16.1,No,,No,Tuesday,January,2021
2021-01-05,Full Cream Milk (1L),East,West Bengal,889,58.25,16.1,No,,No,Tuesday,January,2021
2021-01-05,Buttermilk (1L),Central,Madhya Pradesh,149,34.46,16.6,No,,No,Tuesday,January,2021
2021-01-05,Flavoured Milk (200ml),South,Telangana,796,30.11,29.7,No,,No,Tuesday,January,2021
2021-01-05,Dahi / Curd (500g),Central,Madhya Pradesh,819,44.96,16.6,No,,No,Tuesday,January,2021
2021-01-05,Toned Milk (500ml),North,Delhi,577,26.23,11.4,No,,No,Tuesday,January,2021
2021-01-05,Cheese Slices (200g),South,Telangana,340,109.36,29.7,No,,No,Tuesday,January,2021
2021-01-05,Ice Cream (500ml),West,Maharashtra,120,178.53,23.4,No,,No,Tuesday,January,2021
2021-01-05,Full Cream Milk (1L),Central,Madhya Pradesh,1523,61.52,16.6,No,,No,Tuesday,January,2021
2021-01-05,Ice Cream (500ml),South,Telangana,191,174.91,29.7,No,,No,Tuesday,January,2021
2021-01-05,Buttermilk (1L),North,Delhi,200,35.93,11.4,No,,No,Tuesday,January,2021
2021-01-05,Skimmed Milk (1L),East,West Bengal,503,54.79,16.1,No,,No,Tuesday,January,2021
2021-01-05,Flavoured Milk (200ml),East,West Bengal,354,29.56,16.1,No,,No,Tuesday,January,2021
2021-01-05,Ice Cream (500ml),North,Delhi,274,180.6,11.4,No,,No,Tuesday,January,2021
2021-01-05,Lassi (200ml),North,Delhi,187,24.66,11.4,No,,No,Tuesday,January,2021
2021-01-05,Lassi (200ml),West,Maharashtra,160,24.67,23.4,No,,No,Tuesday,January,2021
2021-01-05,Dahi / Curd (500g),West,Maharashtra,571,44.93,23.4,No,,No,Tuesday,January,2021
2021-01-05,Butter (500g),South,Telangana,302,252.57,29.7,No,,No,Tuesday,January,2021
2021-01-05,Ice Cream (500ml),Central,Madhya Pradesh,83,179.43,16.6,No,,No,Tuesday,January,2021
2021-01-05,Ice Cream (500ml),East,West Bengal,289,178.15,16.1,No,,No,Tuesday,January,2021
2021-01-05,Skimmed Milk (1L),South,Telangana,883,55.35,29.7,No,,No,Tuesday,January,2021
2021-01-06,Cheese Slices (200g),South,Andhra Pradesh,139,111.11,23.2,No,,No,Wednesday,January,2021
2021-01-06,Ghee (1L),West,Maharashtra,98,529.21,17.1,No,,No,Wednesday,January,2021
2021-01-06,Dahi / Curd (500g),South,Andhra Pradesh,846,45.07,23.2,No,,No,Wednesday,January,2021
2021-01-06,Ice Cream (500ml),North,Punjab,218,180.76,14.4,No,,No,Wednesday,January,2021
2021-01-06,Toned Milk (500ml),South,Andhra Pradesh,954,26.45,23.2,No,,No,Wednesday,January,2021
2021-01-06,Ice Cream (500ml),East,West Bengal,227,181.96,19.1,No,,No,Wednesday,January,2021
2021-01-06,Full Cream Milk (1L),East,West Bengal,1558,58.87,19.1,No,,No,Wednesday,January,2021
2021-01-06,Toned Milk (500ml),East,West Bengal,623,26.88,19.1,No,,No,Wednesday,January,2021
2021-01-06,Cheese Slices (200g),North,Punjab,93,109.1,14.4,No,,No,Wednesday,January,2021
2021-01-06,Buttermilk (1L),South,Andhra Pradesh,303,34.54,23.2,No,,No,Wednesday,January,2021
2021-01-06,Ice Cream (500ml),West,Maharashtra,256,184.07,17.1,No,,No,Wednesday,January,2021
2021-01-06,Paneer (200g),Central,Madhya Pradesh,457,92.16,16.4,No,,No,Wednesday,January,2021
2021-01-06,Full Cream Milk (1L),North,Punjab,1061,59.56,14.4,No,,No,Wednesday,January,2021
2021-01-06,Ghee (1L),Central,Madhya Pradesh,141,533.72,16.4,No,,No,Wednesday,January,2021
2021-01-06,Skimmed Milk (1L),East,West Bengal,325,54.15,19.1,No,,No,Wednesday,January,2021
2021-01-06,Dahi / Curd (500g),North,Punjab,635,45.48,14.4,No,,No,Wednesday,January,2021
2021-01-06,Buttermilk (1L),Central,Madhya Pradesh,304,34.6,16.4,No,,No,Wednesday,January,2021
2021-01-06,Paneer (200g),West,Maharashtra,616,88.28,17.1,No,,No,Wednesday,January,2021
2021-01-06,Paneer (200g),East,West Bengal,441,90.6,19.1,No,,No,Wednesday,January,2021
2021-01-06,Ghee (1L),South,Andhra Pradesh,105,516.81,23.2,No,,No,Wednesday,January,2021
2021-01-06,Butter (500g),Central,Madhya Pradesh,411,251.86,16.4,No,,No,Wednesday,January,2021
2021-01-06,Toned Milk (500ml),Central,Madhya Pradesh,1017,26.68,16.4,No,,No,Wednesday,January,2021
2021-01-06,Full Cream Milk (1L),South,Andhra Pradesh,1218,58.75,23.2,No,,No,Wednesday,January,2021
2021-01-06,Butter (500g),North,Punjab,331,249.98,14.4,No,,No,Wednesday,January,2021
2021-01-06,Flavoured Milk (200ml),West,Maharashtra,794,30.57,17.1,No,,No,Wednesday,January,2021
2021-01-06,Cheese Slices (200g),Central,Madhya Pradesh,157,110.22,16.4,No,,No,Wednesday,January,2021
2021-01-06,Cheese Slices (200g),East,West Bengal,107,112.05,19.1,No,,No,Wednesday,January,2021
2021-01-06,Full Cream Milk (1L),Central,Madhya Pradesh,949,59.56,16.4,No,,No,Wednesday,January,2021
2021-01-06,Butter (500g),West,Maharashtra,312,255.13,17.1,No,,No,Wednesday,January,2021
2021-01-06,Ghee (1L),North,Punjab,83,521.16,14.4,No,,No,Wednesday,January,2021
2021-01-06,Flavoured Milk (200ml),Central,Madhya Pradesh,505,30.53,16.4,No,,No,Wednesday,January,2021
2021-01-06,Butter (500g),South,Andhra Pradesh,339,257.24,23.2,No,,No,Wednesday,January,2021
2021-01-06,Buttermilk (1L),East,West Bengal,155,35.2,19.1,No,,No,Wednesday,January,2021
2021-01-06,Buttermilk (1L),North,Punjab,192,36.02,14.4,No,,No,Wednesday,January,2021
2021-01-06,Flavoured Milk (200ml),East,West Bengal,400,30.88,19.1,No,,No,Wednesday,January,2021
2021-01-06,Toned Milk (500ml),West,Maharashtra,1328,27.75,17.1,No,,No,Wednesday,January,2021
2021-01-06,Paneer (200g),North,Punjab,395,92.11,14.4,No,,No,Wednesday,January,2021
2021-01-06,Lassi (200ml),Central,Madhya Pradesh,422,24.75,16.4,No,,No,Wednesday,January,2021
2021-01-06,Cheese Slices (200g),West,Maharashtra,171,110.15,17.1,No,,No,Wednesday,January,2021
2021-01-06,Ghee (1L),East,West Bengal,300,506.02,19.1,No,,No,Wednesday,January,2021
2021-01-06,Lassi (200ml),West,Maharashtra,372,24.5,17.1,No,,No,Wednesday,January,2021
