Product_Name,Region,Week_Start,Quantity_Sold,Avg_Price,Avg_Temperature,Festival_Names,Num_Days,Festival_Indicator,Holiday_Indicator
Butter (500g),Central,2021-07-12,2376,249.25,31.1,No_Festival,7,No,No
Butter (500g),Central,2021-07-19,1624,253.62,31.2,No_Festival,6,No,Yes
Butter (500g),Central,2021-07-26,924,246.24,30.6,No_Festival,4,No,No
Butter (500g),Central,2021-08-02,1881,250.08,29.5,No_Festival,7,No,No
Butter (500g),Central,2021-08-09,1600,250.27,28.9,Independence Day,5,Yes,Yes
Butter (500g),Central,2021-08-16,1404,249.73,30.6,No_Festival,5,No,No
Butter (500g),Central,2021-08-23,1749,251.38,31.0,No_Festival,6,No,No
Butter (500g),Central,2021-08-30,1112,250.93,27.2,No_Festival,4,No,No
Butter (500g),Central,2021-09-06,1380,249.93,30.0,No_Festival,5,No,No
Butter (500g),Central,2021-09-13,2025,248.82,29.2,No_Festival,7,No,No
Butter (500g),Central,2021-09-20,1226,252.53,30.1,No_Festival,6,No,No
Butter (500g),Central,2021-09-27,1357,248.72,28.2,No_Festival,5,No,No
Butter (500g),Central,2021-10-04,1261,249.47,27.6,No_Festival,5,No,No
Butter (500g),Central,2021-10-11,660,250.35,27.3,No_Festival,3,No,No
Butter (500g),Central,2021-10-18,623,248.92,29.2,No_Festival,3,No,No
Butter (500g),Central,2021-10-25,1365,248.03,27.9,No_Festival,6,No,No
Butter (500g),Central,2021-11-01,1118,251.95,22.6,Diwali,5,Yes,Yes
Butter (500g),Central,2021-11-08,1849,251.19,22.3,No_Festival,6,No,No
Butter (500g),Central,2021-11-15,1965,250.88,23.0,Guru Nanak Jayanti,6,Yes,Yes
Butter (500g),Central,2021-11-22,1461,250.25,22.8,No_Festival,5,No,No
Butter (500g),Central,2021-11-29,1297,249.16,19.0,No_Festival,5,No,No
Butter (500g),Central,2021-12-06,1499,250.43,19.5,No_Festival,6,No,No
Butter (500g),Central,2021-12-13,1493,249.95,18.4,No_Festival,6,No,No
Butter (500g),Central,2021-12-20,1050,250.4,16.7,Christmas,4,Yes,Yes
Butter (500g),Central,2021-12-27,1536,252.09,17.6,No_Festival,5,No,No
Butter (500g),Central,2022-01-03,1161,259.76,18.1,No_Festival,5,No,No
Butter (500g),Central,2022-01-10,1679,261.01,17.3,Makar Sankranti,5,Yes,Yes
Butter (500g),Central,2022-01-17,1109,258.69,17.2,No_Festival,5,No,No
Butter (500g),Central,2022-01-24,1266,262.03,18.1,Republic Day,4,Yes,Yes
Butter (500g),Central,2022-01-31,1441,262.14,18.9,No_Festival,6,No,No
Butter (500g),Central,2022-02-07,912,264.94,22.9,No_Festival,5,No,No
Butter (500g),Central,2022-02-14,1602,261.11,22.0,No_Festival,6,No,No
Butter (500g),Central,2022-02-21,1620,259.98,21.3,No_Festival,6,No,No
Butter (500g),Central,2022-02-28,970,265.59,24.2,No_Festival,5,No,No
Butter (500g),Central,2022-03-07,1461,264.72,27.7,No_Festival,6,No,No
Butter (500g),Central,2022-03-14,2073,263.38,26.6,Holi,6,Yes,Yes
Butter (500g),Central,2022-03-21,1510,260.92,27.6,No_Festival,7,No,No
Butter (500g),Central,2022-03-28,933,262.81,28.4,No_Festival,4,No,No
Butter (500g),Central,2022-04-04,1120,260.78,34.9,No_Festival,5,No,No
Butter (500g),Central,2022-04-11,1279,262.26,32.2,Baisakhi,5,Yes,Yes
Butter (500g),Central,2022-04-18,1736,262.24,32.2,No_Festival,7,No,No
Butter (500g),Central,2022-04-25,1423,261.9,33.7,No_Festival,5,No,No
Butter (500g),Central,2022-05-02,2315,264.75,39.3,No_Festival,7,No,Yes
Butter (500g),Central,2022-05-09,676,259.91,39.0,No_Festival,4,No,No
Butter (500g),Central,2022-05-16,1781,261.42,37.9,No_Festival,6,No,No
Butter (500g),Central,2022-05-23,1676,264.14,36.6,No_Festival,6,No,No
Butter (500g),Central,2022-05-30,1475,264.74,36.4,No_Festival,6,No,No
Butter (500g),Central,2022-06-06,1263,261.83,35.0,No_Festival,5,No,No
Butter (500g),Central,2022-06-13,1493,264.15,35.3,No_Festival,5,No,No
Butter (500g),Central,2022-06-20,1557,260.35,35.7,No_Festival,7,No,No
Butter (500g),Central,2022-06-27,957,259.56,38.9,No_Festival,4,No,No
Butter (500g),Central,2022-07-04,1742,263.62,31.1,No_Festival,7,No,Yes
Butter (500g),Central,2022-07-11,1573,260.49,31.2,No_Festival,6,No,No
Butter (500g),Central,2022-07-18,1790,263.76,30.5,No_Festival,6,No,No
Butter (500g),Central,2022-07-25,1325,259.51,31.8,No_Festival,5,No,No
Butter (500g),Central,2022-08-01,2208,260.08,28.8,No_Festival,7,No,No
Butter (500g),Central,2022-08-08,1146,260.67,30.1,Raksha Bandhan,3,Yes,Yes
Butter (500g),Central,2022-08-15,1672,267.14,30.9,Independence Day,6,Yes,Yes
Butter (500g),Central,2022-08-22,1690,262.24,31.2,No_Festival,5,No,No
Butter (500g),Central,2022-08-29,1279,260.12,31.2,No_Festival,4,No,No
Butter (500g),Central,2022-09-05,1463,262.53,30.2,No_Festival,5,No,No
Butter (500g),Central,2022-09-12,1032,260.87,30.7,No_Festival,5,No,No
Butter (500g),Central,2022-09-19,1541,260.01,31.9,No_Festival,5,No,No
Butter (500g),Central,2022-09-26,1374,265.16,29.4,Gandhi Jayanti,5,Yes,Yes
Butter (500g),Central,2022-10-03,1603,262.13,29.4,No_Festival,6,No,No
Butter (500g),Central,2022-10-10,1527,261.11,27.6,No_Festival,6,No,No
Butter (500g),Central,2022-10-17,1389,262.42,27.4,No_Festival,6,No,No
Butter (500g),Central,2022-10-24,1658,264.68,29.0,Diwali,6,Yes,Yes
Butter (500g),Central,2022-10-31,1516,265.6,23.5,No_Festival,6,No,No
Butter (500g),Central,2022-11-07,1305,265.38,22.1,Guru Nanak Jayanti,5,Yes,Yes
Butter (500g),Central,2022-11-14,1042,259.95,21.9,No_Festival,4,No,No
Butter (500g),Central,2022-11-21,1391,263.38,23.0,No_Festival,6,No,No
Butter (500g),Central,2022-11-28,1305,262.83,19.5,No_Festival,5,No,No
Butter (500g),Central,2022-12-05,1335,264.3,18.8,No_Festival,6,No,No
Butter (500g),Central,2022-12-12,1138,264.5,18.4,No_Festival,5,No,No
Butter (500g),Central,2022-12-19,1973,263.99,17.0,Christmas,7,Yes,Yes
Butter (500g),Central,2022-12-26,1454,268.1,18.6,No_Festival,5,No,No
Butter (500g),Central,2023-01-02,1499,277.4,17.8,No_Festival,7,No,No
Butter (500g),Central,2023-01-09,965,275.01,18.0,No_Festival,4,No,No
Butter (500g),Central,2023-01-16,1115,276.0,17.1,No_Festival,4,No,No
Butter (500g),Central,2023-01-23,1808,276.39,17.4,Republic Day,7,Yes,Yes
Butter (500g),Central,2023-01-30,1151,276.44,18.6,No_Festival,4,No,No
Butter (500g),Central,2023-02-06,997,274.96,22.5,No_Festival,4,No,No
Butter (500g),Central,2023-02-13,1290,274.2,21.4,No_Festival,4,No,No
Butter (500g),Central,2023-02-20,1185,276.92,20.5,No_Festival,5,No,No
Butter (500g),Central,2023-02-27,1440,274.38,26.1,No_Festival,5,No,No
Butter (500g),Central,2023-03-06,1386,272.38,27.0,Holi,5,Yes,Yes
Butter (500g),Central,2023-03-13,995,272.2,25.8,No_Festival,5,No,No
Butter (500g),Central,2023-03-20,1185,277.68,26.7,No_Festival,4,No,No
Butter (500g),Central,2023-03-27,1869,272.88,28.1,No_Festival,7,No,No
Butter (500g),Central,2023-04-03,1398,274.46,32.3,No_Festival,6,No,No
Butter (500g),Central,2023-04-10,1725,275.9,32.8,Baisakhi,5,Yes,Yes
Butter (500g),Central,2023-04-17,1232,275.54,34.2,No_Festival,4,No,Yes
Butter (500g),Central,2023-04-24,642,274.41,34.2,No_Festival,3,No,No
Butter (500g),Central,2023-05-01,1182,279.0,37.8,No_Festival,5,No,No
Butter (500g),Central,2023-05-08,1384,276.4,39.0,No_Festival,5,No,No
Butter (500g),Central,2023-05-15,1603,273.15,38.0,No_Festival,6,No,No
Butter (500g),Central,2023-05-22,1886,274.44,39.4,No_Festival,6,No,No
Butter (500g),Central,2023-05-29,726,277.34,35.2,No_Festival,3,No,No
Butter (500g),Central,2023-06-05,1659,278.54,35.7,No_Festival,6,No,No
Butter (500g),Central,2023-06-12,1291,276.97,36.9,No_Festival,4,No,No
Butter (500g),Central,2023-06-19,1547,271.37,36.7,No_Festival,5,No,No
Butter (500g),Central,2023-06-26,1436,274.08,35.1,No_Festival,7,No,Yes
Butter (500g),Central,2023-07-03,1471,278.1,30.9,No_Festival,6,No,No
Butter (500g),Central,2023-07-10,1914,277.48,31.2,No_Festival,7,No,No
Butter (500g),Central,2023-07-17,1369,276.22,32.4,No_Festival,5,No,No
Butter (500g),Central,2023-07-24,949,281.25,31.4,No_Festival,5,No,No
Butter (500g),Central,2023-07-31,983,276.09,29.0,No_Festival,4,No,No
Butter (500g),Central,2023-08-07,1658,275.41,29.4,No_Festival,6,No,No
Butter (500g),Central,2023-08-14,1639,273.54,29.9,Independence Day,6,Yes,Yes
Butter (500g),Central,2023-08-21,1651,273.83,29.6,No_Festival,6,No,No
Butter (500g),Central,2023-08-28,1330,274.85,31.2,Raksha Bandhan,6,Yes,Yes
Butter (500g),Central,2023-09-04,1190,277.54,29.8,No_Festival,6,No,No
Butter (500g),Central,2023-09-11,1282,274.61,29.2,No_Festival,6,No,No
Butter (500g),Central,2023-09-18,1366,271.93,29.9,No_Festival,4,No,No
Butter (500g),Central,2023-09-25,1345,274.26,31.2,No_Festival,4,No,No
Butter (500g),Central,2023-10-02,1973,274.15,29.5,Gandhi Jayanti,5,Yes,Yes
Butter (500g),Central,2023-10-09,954,274.23,27.5,No_Festival,4,No,No
Butter (500g),Central,2023-10-16,1340,275.84,26.8,No_Festival,5,No,No
Butter (500g),Central,2023-10-23,1445,272.14,27.2,No_Festival,6,No,No
Butter (500g),Central,2023-10-30,1871,275.01,24.6,No_Festival,6,No,No
Butter (500g),Central,2023-11-06,1788,277.05,21.2,Diwali,6,Yes,Yes
Butter (500g),Central,2023-11-13,1850,274.78,22.7,No_Festival,6,No,No
Butter (500g),Central,2023-11-20,1383,274.78,22.3,No_Festival,6,No,No
Butter (500g),Central,2023-11-27,1399,275.47,21.7,No_Festival,6,No,No
Butter (500g),Central,2023-12-04,1047,274.02,17.6,No_Festival,4,No,No
Butter (500g),Central,2023-12-11,1025,272.97,20.0,No_Festival,6,No,No
Butter (500g),Central,2023-12-18,1195,275.29,18.7,No_Festival,5,No,No
Butter (500g),Central,2023-12-25,1367,278.68,18.3,No_Festival,5,No,No
Butter (500g),East,2020-12-28,910,250.93,17.6,No_Festival,3,No,No
Butter (500g),East,2021-01-04,1012,252.33,19.6,No_Festival,3,No,No
Butter (500g),East,2021-01-11,1339,250.65,18.6,Makar Sankranti,5,Yes,Yes
Butter (500g),East,2021-01-18,1181,249.65,17.8,No_Festival,6,No,No
Butter (500g),East,2021-01-25,1199,248.34,19.6,No_Festival,4,No,No
Butter (500g),East,2021-02-01,1190,250.31,20.1,No_Festival,6,No,No
Butter (500g),East,2021-02-08,1590,252.71,20.6,No_Festival,6,No,No
Butter (500g),East,2021-02-15,782,250.33,23.1,No_Festival,5,No,No
Butter (500g),East,2021-02-22,1352,251.77,21.1,No_Festival,5,No,No
Butter (500g),East,2021-03-01,746,248.56,27.1,No_Festival,3,No,No
Butter (500g),East,2021-03-08,2050,251.62,25.8,No_Festival,7,No,No
Butter (500g),East,2021-03-15,1211,249.48,27.4,No_Festival,4,No,No
Butter (500g),East,2021-03-22,1866,251.15,26.3,Holi,7,Yes,Yes
Butter (500g),East,2021-03-29,1100,250.39,30.4,No_Festival,5,No,No
Butter (500g),East,2021-04-05,1370,247.31,31.9,No_Festival,6,No,No
Butter (500g),East,2021-04-12,1408,250.06,32.7,Baisakhi,4,Yes,Yes
Butter (500g),East,2021-04-19,555,246.38,30.4,No_Festival,3,No,No
Butter (500g),East,2021-04-26,1366,249.94,32.1,No_Festival,5,No,No
Butter (500g),East,2021-05-03,1855,250.56,34.5,No_Festival,6,No,No
Butter (500g),East,2021-05-10,1749,249.81,35.4,No_Festival,6,No,Yes
Butter (500g),East,2021-05-17,1603,246.03,35.4,No_Festival,5,No,No
Butter (500g),East,2021-05-24,1147,250.59,32.8,No_Festival,4,No,No
Butter (500g),East,2021-05-31,1422,249.49,33.0,No_Festival,6,No,No
Butter (500g),East,2021-06-07,1224,248.93,31.8,No_Festival,5,No,No
Butter (500g),East,2021-06-14,1538,251.71,32.4,No_Festival,6,No,No
Butter (500g),East,2021-06-21,981,249.69,32.3,No_Festival,5,No,No
Butter (500g),East,2021-06-28,1217,248.7,32.9,No_Festival,5,No,No
Butter (500g),East,2021-07-05,1637,248.94,29.7,No_Festival,6,No,No
Butter (500g),East,2021-07-12,1262,252.1,29.3,No_Festival,5,No,No
Butter (500g),East,2021-07-19,935,249.68,29.4,No_Festival,4,No,Yes
Butter (500g),East,2021-07-26,1496,247.46,29.8,No_Festival,6,No,No
Butter (500g),East,2021-08-02,956,248.46,28.5,No_Festival,4,No,No
Butter (500g),East,2021-08-09,1672,249.44,30.2,Independence Day,6,Yes,Yes
Butter (500g),East,2021-08-16,1689,249.18,29.9,Raksha Bandhan,6,Yes,Yes
Butter (500g),East,2021-08-23,946,250.17,30.2,No_Festival,3,No,No
Butter (500g),East,2021-08-30,698,251.68,29.1,No_Festival,3,No,No
Butter (500g),East,2021-09-06,999,246.63,29.2,No_Festival,4,No,No
Butter (500g),East,2021-09-13,741,247.53,28.9,No_Festival,3,No,No
Butter (500g),East,2021-09-20,1881,245.09,28.9,No_Festival,6,No,No
Butter (500g),East,2021-09-27,2020,250.64,27.8,Gandhi Jayanti,7,Yes,Yes
Butter (500g),East,2021-10-04,1422,251.64,26.1,No_Festival,5,No,No
Butter (500g),East,2021-10-11,834,247.8,27.8,Navratri,4,Yes,Yes
Butter (500g),East,2021-10-18,1292,246.63,27.4,No_Festival,5,No,No
Butter (500g),East,2021-10-25,1416,251.47,27.8,No_Festival,6,No,No
Butter (500g),East,2021-11-01,915,250.06,23.9,No_Festival,4,No,No
Butter (500g),East,2021-11-08,1598,246.88,22.1,No_Festival,5,No,No
Butter (500g),East,2021-11-15,1527,252.87,23.4,Guru Nanak Jayanti,5,Yes,Yes
Butter (500g),East,2021-11-22,1379,251.96,21.0,No_Festival,7,No,No
Butter (500g),East,2021-11-29,1311,251.46,18.3,No_Festival,6,No,No
Butter (500g),East,2021-12-06,762,251.5,16.6,No_Festival,4,No,No
Butter (500g),East,2021-12-13,968,253.55,16.4,No_Festival,5,No,No
Butter (500g),East,2021-12-20,1307,252.94,16.7,Christmas,4,Yes,Yes
Butter (500g),East,2021-12-27,1086,252.06,16.1,No_Festival,4,No,No
Butter (500g),East,2022-01-03,1481,262.37,18.6,No_Festival,6,No,No
Butter (500g),East,2022-01-10,1346,260.02,18.2,Makar Sankranti,5,Yes,Yes
Butter (500g),East,2022-01-17,1667,263.24,19.4,No_Festival,7,No,No
Butter (500g),East,2022-01-24,1077,262.47,18.2,No_Festival,4,No,No
Butter (500g),East,2022-01-31,1076,259.99,20.8,No_Festival,5,No,No
Butter (500g),East,2022-02-07,1524,259.48,21.3,No_Festival,5,No,No
Butter (500g),East,2022-02-14,1840,260.1,21.6,No_Festival,7,No,No
Butter (500g),East,2022-02-21,1235,263.12,21.5,No_Festival,5,No,No
Butter (500g),East,2022-02-28,1614,262.11,26.0,No_Festival,6,No,No
Butter (500g),East,2022-03-07,1042,264.15,28.6,No_Festival,5,No,No
Butter (500g),East,2022-03-14,1069,260.31,27.6,No_Festival,4,No,No
Butter (500g),East,2022-03-21,1364,263.38,25.8,No_Festival,5,No,No
Butter (500g),East,2022-03-28,1634,263.67,28.9,No_Festival,6,No,No
Butter (500g),East,2022-04-04,847,265.69,32.2,No_Festival,3,No,No
Butter (500g),East,2022-04-11,1716,264.7,32.3,Baisakhi,6,Yes,Yes
Butter (500g),East,2022-04-18,1472,260.91,32.1,No_Festival,5,No,No
Butter (500g),East,2022-04-25,1058,266.62,32.0,No_Festival,4,No,No
Butter (500g),East,2022-05-02,676,262.8,32.7,No_Festival,3,No,Yes
Butter (500g),East,2022-05-09,1046,257.35,35.4,No_Festival,4,No,No
Butter (500g),East,2022-05-16,1016,257.2,33.7,No_Festival,5,No,No
Butter (500g),East,2022-05-23,1427,266.66,35.6,No_Festival,6,No,No
Butter (500g),East,2022-05-30,1383,260.62,32.4,No_Festival,5,No,No
Butter (500g),East,2022-06-06,1214,261.76,31.6,No_Festival,4,No,No
Butter (500g),East,2022-06-13,978,263.98,33.0,No_Festival,3,No,No
Butter (500g),East,2022-06-20,1766,263.81,32.4,No_Festival,6,No,No
Butter (500g),East,2022-06-27,1460,264.7,31.7,No_Festival,6,No,No
Butter (500g),East,2022-07-04,1154,264.5,30.5,No_Festival,4,No,No
Butter (500g),East,2022-07-11,1645,265.54,30.2,No_Festival,6,No,No
Butter (500g),East,2022-07-18,1680,262.0,29.3,No_Festival,6,No,No
Butter (500g),East,2022-07-25,810,264.47,29.9,No_Festival,3,No,No
Butter (500g),East,2022-08-01,1429,260.01,30.6,No_Festival,6,No,No
Butter (500g),East,2022-08-08,1342,260.18,30.7,Raksha Bandhan,6,Yes,Yes
Butter (500g),East,2022-08-15,1778,261.64,31.2,Janmashtami,6,Yes,Yes
Butter (500g),East,2022-08-22,1434,264.14,29.9,No_Festival,5,No,No
Butter (500g),East,2022-08-29,1364,261.57,29.4,No_Festival,5,No,No
Butter (500g),East,2022-09-05,1977,262.55,29.6,No_Festival,6,No,No
Butter (500g),East,2022-09-12,1156,261.1,28.2,No_Festival,5,No,No
Butter (500g),East,2022-09-19,1940,261.57,30.7,No_Festival,7,No,No
Butter (500g),East,2022-09-26,1215,261.04,27.0,Gandhi Jayanti,6,Yes,Yes
Butter (500g),East,2022-10-03,952,258.41,27.2,No_Festival,3,No,No
Butter (500g),East,2022-10-10,1154,262.87,27.8,No_Festival,5,No,No
Butter (500g),East,2022-10-17,1315,262.94,25.7,No_Festival,6,No,No
Butter (500g),East,2022-10-24,825,258.95,28.2,No_Festival,4,No,No
Butter (500g),East,2022-10-31,1216,263.28,23.6,No_Festival,5,No,No
Butter (500g),East,2022-11-07,1845,264.98,21.8,Guru Nanak Jayanti,6,Yes,Yes
Butter (500g),East,2022-11-14,1250,263.17,23.1,No_Festival,6,No,No
Butter (500g),East,2022-11-21,1534,261.5,21.7,No_Festival,5,No,No
Butter (500g),East,2022-11-28,951,261.0,19.2,No_Festival,3,No,No
Butter (500g),East,2022-12-05,1795,264.16,15.6,No_Festival,7,No,No
Butter (500g),East,2022-12-12,1377,264.88,16.9,No_Festival,6,No,No
Butter (500g),East,2022-12-19,2178,264.7,17.4,Christmas,6,Yes,Yes
Butter (500g),East,2022-12-26,1669,267.61,17.9,No_Festival,6,No,No
Butter (500g),East,2023-01-02,1684,274.23,19.0,No_Festival,5,No,No
Butter (500g),East,2023-01-09,1608,275.0,18.6,Makar Sankranti,5,Yes,Yes
Butter (500g),East,2023-01-16,1284,272.94,18.6,No_Festival,6,No,No
Butter (500g),East,2023-01-23,1752,277.08,19.2,Republic Day,6,Yes,Yes
Butter (500g),East,2023-01-30,1033,274.76,17.8,No_Festival,4,No,No
Butter (500g),East,2023-02-06,977,273.46,22.1,No_Festival,3,No,No
Butter (500g),East,2023-02-13,1759,276.1,20.7,No_Festival,7,No,No
Butter (500g),East,2023-02-20,1652,274.7,19.9,No_Festival,7,No,No
Butter (500g),East,2023-02-27,1418,275.36,24.6,No_Festival,6,No,No
Butter (500g),East,2023-03-06,2088,272.55,27.9,Holi,7,Yes,Yes
Butter (500g),East,2023-03-13,937,277.14,26.4,No_Festival,4,No,No
Butter (500g),East,2023-03-20,1474,275.74,27.4,No_Festival,5,No,No
Butter (500g),East,2023-03-27,1456,272.93,29.6,No_Festival,5,No,No
Butter (500g),East,2023-04-03,1037,274.97,33.6,No_Festival,4,No,No
Butter (500g),East,2023-04-10,1385,275.39,31.5,Baisakhi,6,Yes,Yes
Butter (500g),East,2023-04-17,1383,278.37,31.4,No_Festival,5,No,Yes
Butter (500g),East,2023-04-24,836,276.69,32.2,No_Festival,5,No,No
Butter (500g),East,2023-05-01,1042,275.26,34.0,No_Festival,4,No,No
Butter (500g),East,2023-05-08,1782,274.91,33.2,No_Festival,7,No,No
Butter (500g),East,2023-05-15,2075,274.09,34.2,No_Festival,7,No,No
Butter (500g),East,2023-05-22,1011,274.01,34.8,No_Festival,5,No,No
Butter (500g),East,2023-05-29,1387,276.63,33.7,No_Festival,5,No,No
Butter (500g),East,2023-06-05,1126,274.16,30.5,No_Festival,5,No,No
Butter (500g),East,2023-06-12,1120,274.06,30.9,No_Festival,5,No,No
Butter (500g),East,2023-06-19,1899,275.76,32.7,No_Festival,7,No,No
Butter (500g),East,2023-06-26,1784,274.6,32.2,No_Festival,6,No,Yes
Butter (500g),East,2023-07-03,987,276.1,28.1,No_Festival,4,No,No
Butter (500g),East,2023-07-10,1070,276.15,30.7,No_Festival,5,No,No
Butter (500g),East,2023-07-17,568,275.38,29.6,No_Festival,2,No,No
Butter (500g),East,2023-07-24,1329,275.27,28.8,No_Festival,6,No,No
Butter (500g),East,2023-07-31,1497,274.07,28.1,No_Festival,5,No,No
Butter (500g),East,2023-08-07,1687,275.27,30.6,No_Festival,6,No,No
Butter (500g),East,2023-08-14,1927,279.21,29.9,Independence Day,7,Yes,Yes
Butter (500g),East,2023-08-21,1886,273.66,30.1,No_Festival,7,No,No
Butter (500g),East,2023-08-28,1693,276.54,30.7,Raksha Bandhan,6,Yes,Yes
Butter (500g),East,2023-09-04,1494,272.68,28.5,Janmashtami,5,Yes,Yes
Butter (500g),East,2023-09-11,1309,277.99,27.4,No_Festival,5,No,No
Butter (500g),East,2023-09-18,1459,274.55,30.0,No_Festival,6,No,No
Butter (500g),East,2023-09-25,1642,275.14,28.3,No_Festival,7,No,No
Butter (500g),East,2023-10-02,1946,272.51,26.5,Gandhi Jayanti,7,Yes,Yes
Butter (500g),East,2023-10-09,863,275.02,26.7,No_Festival,4,No,No
Butter (500g),East,2023-10-16,1652,272.9,27.2,No_Festival,6,No,No
Butter (500g),East,2023-10-23,891,279.42,25.1,No_Festival,3,No,No
Butter (500g),East,2023-10-30,1168,274.14,23.4,No_Festival,6,No,No
Butter (500g),East,2023-11-06,1115,270.96,22.3,Diwali,4,Yes,Yes
Butter (500g),East,2023-11-13,2001,276.01,22.6,No_Festival,7,No,No
Butter (500g),East,2023-11-20,1567,274.96,21.4,No_Festival,6,No,No
Butter (500g),East,2023-11-27,1710,274.9,18.6,Guru Nanak Jayanti,5,Yes,Yes
Butter (500g),East,2023-12-04,1559,273.98,16.7,No_Festival,5,No,No
Butter (500g),East,2023-12-11,1570,276.09,17.0,No_Festival,5,No,No
Butter (500g),East,2023-12-18,1327,274.03,15.8,No_Festival,6,No,No
Butter (500g),East,2023-12-25,1073,275.61,17.6,Christmas,5,Yes,Yes
Butter (500g),North,2020-12-28,491,245.98,14.8,No_Festival,2,No,No
Butter (500g),North,2021-01-04,1115,251.47,12.8,No_Festival,5,No,No
Butter (500g),North,2021-01-11,966,252.05,15.1,No_Festival,4,No,No
Butter (500g),North,2021-01-18,1820,248.31,14.3,No_Festival,7,No,No
Butter (500g),North,2021-01-25,2184,250.67,14.4,Republic Day,6,Yes,Yes
Butter (500g),North,2021-02-01,1425,249.77,17.7,No_Festival,5,No,No
Butter (500g),North,2021-02-08,1760,248.28,16.2,No_Festival,6,No,No
Butter (500g),North,2021-02-15,1359,251.45,16.8,No_Festival,5,No,No
Butter (500g),North,2021-02-22,1865,251.41,16.0,No_Festival,7,No,No
Butter (500g),North,2021-03-01,1208,250.78,24.6,No_Festival,6,No,No
Butter (500g),North,2021-03-08,1213,249.19,24.1,No_Festival,5,No,No
Butter (500g),North,2021-03-15,1672,248.3,23.9,No_Festival,7,No,No
Butter (500g),North,2021-03-22,1213,251.3,23.1,Holi,5,Yes,Yes
Butter (500g),North,2021-03-29,1541,248.08,28.7,No_Festival,5,No,No
Butter (500g),North,2021-04-05,2238,249.48,32.6,No_Festival,7,No,No
Butter (500g),North,2021-04-12,1754,252.05,31.8,Baisakhi,6,Yes,Yes
Butter (500g),North,2021-04-19,1545,248.69,32.2,No_Festival,6,No,No
Butter (500g),North,2021-04-26,1034,246.11,36.0,No_Festival,4,No,No
Butter (500g),North,2021-05-03,1446,250.85,38.7,No_Festival,7,No,No
Butter (500g),North,2021-05-10,1563,249.38,39.2,No_Festival,6,No,Yes
Butter (500g),North,2021-05-17,2042,251.81,38.7,No_Festival,7,No,No
Butter (500g),North,2021-05-24,1743,252.14,37.8,No_Festival,6,No,No
Butter (500g),North,2021-05-31,1663,250.12,40.4,No_Festival,6,No,No
Butter (500g),North,2021-06-07,1608,247.0,39.7,No_Festival,6,No,No
Butter (500g),North,2021-06-14,1751,245.31,39.3,No_Festival,7,No,No
Butter (500g),North,2021-06-21,1072,248.27,39.7,No_Festival,5,No,No
Butter (500g),North,2021-06-28,755,251.41,34.8,No_Festival,3,No,No
Butter (500g),North,2021-07-05,1029,251.92,35.7,No_Festival,6,No,No
Butter (500g),North,2021-07-12,1201,247.72,35.6,No_Festival,4,No,No
Butter (500g),North,2021-07-19,1385,247.27,35.4,No_Festival,5,No,Yes
